date,home_team,away_team,home_score,away_score,tournament,country,neutral
1872-11-30,0.0,0.0,0,0,Friendly,Scotland,False
1873-03-08,4.0,2.0,4,2,Friendly,England,False
1874-03-07,1.0,0.5,2,1,Friendly,Scotland,False
1875-03-06,3.0,2.0,2,2,Friendly,England,False
1876-03-04,1.6666666666666667,0.3333333333333333,3,0,Friendly,Scotland,False
1876-03-25,2.25,0.0,4,0,Friendly,Scotland,False
1877-03-03,2.3333333333333335,2.3333333333333335,1,3,Friendly,England,False
1877-03-05,0.0,2.25,0,2,Friendly,Wales,False
1878-03-02,3.2,0.75,7,2,Friendly,Scotland,False
1878-03-23,5.0,0.0,9,0,Friendly,Scotland,False
1879-01-18,2.25,0.3333333333333333,2,1,Friendly,England,False
1879-04-05,2.8,2.6,5,4,Friendly,England,False
1879-04-07,0.0,2.8,0,3,Friendly,Wales,False
1880-03-13,5.6,1.4,5,4,Friendly,Scotland,False
1880-03-15,0.6666666666666666,2.0,2,3,Friendly,Wales,False
1880-03-27,6.0,0.5,5,1,Friendly,Scotland,False
1881-02-26,2.0,0.6,0,1,Friendly,England,False
1881-03-12,1.8,3.6,1,6,Friendly,England,False
1881-03-14,0.75,4.0,1,5,Friendly,Wales,False
1882-02-18,0.0,4.4,0,13,Friendly,Ireland,False
1882-02-25,2.0,1.0,7,1,Friendly,Wales,False
1882-03-11,6.2,4.6,5,1,Friendly,Scotland,False
1882-03-13,3.0,4.8,5,3,Friendly,Wales,False
1882-03-25,5.8,0.6,5,0,Friendly,Scotland,False
1883-02-03,2.6,0.6,5,0,Friendly,England,False
1883-02-24,3.6,0.5,7,0,Friendly,England,False
1883-03-10,3.0,4.2,2,3,Friendly,England,False
1883-03-12,3.0,4.0,0,3,Friendly,Wales,False
1883-03-17,0.5,0.6,1,1,Friendly,Ireland,False
1884-01-26,0.3333333333333333,4.4,0,5,British Championship,Ireland,False
1884-02-09,3.8,0.3333333333333333,6,0,British Championship,Wales,False
1884-02-23,0.5,5.6,1,8,British Championship,Ireland,False
1884-03-15,4.2,5.0,1,0,British Championship,Scotland,False
